"","score","text"
"133",-1,"drinking latte cold windy sunday morning"
"134",0,"when trying blend background looking hot mess barista yellin"
"135",0,"bin red reindeer mug"
"136",0,"bin red reindeer mug"
"137",-2,"bad care cold"
"138",0,"drank handed seriously"
"139",0,"just email delivery"
"140",0,"bin red reindeer mug"
"141",0,"this weekend sogo department store"
"142",0,"random strangers whilst donning gay apparel making yuletide gay look lesbian hands"
"143",2,"great christmas shopping hot chocolate silbury"
"144",1,"looking perfect gift"
"145",1,"thank you much girls effort ingredie"
"146",0,"morning treat douglas"
"147",0,"lol"
"148",-1,"pulling dad giving bad news uncles"
"149",0,""
"150",1,"enjoying"
"151",0,"hate thru drive thru honey citrus mint tea correct second time"
"152",0,"sooooo totally nailed holiday collection"
"153",2,"pretty quiet campus rainy morning except"
"154",0,"hipster"
"155",1,"the machine shipping happy birthday founder"
"156",0,"mobile takes mins line"
"157",2,"keto breakfast thankful little heavy cream normally what thankful morning"
"158",0,"the jumping"
"159",0,"wishing assuming"
"160",1,"addition cards http qfgx gfv best buy"
"161",1,"wow staff times square nyc rudest ive what brand"
"162",0,"why entrepreneurs obsessed shops particularly"
"163",0,"you drink"
"164",0,"chicago weather shot"
"165",0,"favourite cappuccino"
"166",0,"nearly christmas time"
"167",1,"happiness"
"168",-1,"complain looked"
"169",0,"heard stirring outrage support lgbt folk appar"
"170",0,"bucks mornings"
"171",1,"business start lessons some famous companies"
"172",0,"sunday morning stroll"
"173",-1,"giant lititz pike like freaking busy ugh"
"174",0,"heard stirring outrage support lgbt folk"
"175",0,"morning treat douglas"
"176",0,"tiramisu cake banana mango blended beverage"
"177",0,"black squared handle cream color ebay"
"178",1,"make passion win bad mood"
"179",0,"rising sun not"
"180",0,"thanks"
"181",-1,"and guy rude dont forget"
"182",1,"looking perfect gift"
"183",1,"looking perfect gift"
"184",2,"thanks phil getting road lifesaver also thank lady"
"185",2,"trusted its true retweet trusted"
"186",0,"found nicaraguan world"
"187",1,"looking perfect gift"
"188",0,"they reunited"
"189",0,"truly runs world"
"190",0,"beginning feel lot christmas not"
"191",0,"check england shakespeare cliffs dover global icon mug"
"192",-1,"sure offend"
"193",-1,"cranky slept hrs sleep"
"194",0,"yummy yummy unicorn cake christmas log cake"
"195",0,"wireless charging tables gonna"
"196",1,"yay newest additions mug cabinet"
"197",0,"brews row speculates couple holding hands its"
"198",1,"love"
"199",0,"people starbhakts"
"200",0,""
"201",1,"always pleasure"
"202",1,"enter win mug holiday blend can"
"203",-1,"waiting reimbursement keurig"
"204",0,"water essential"
"205",2,"how incredibly appropriate sells marshmallows snowflakes"
"206",1,"love creativity stores signage"
"207",1,"have life loves check dress"
"208",0,"went refill morning guess dog"
"209",0,"wena wena"
"210",0,"page sketch past"
"211",0,"white"
"212",1,"click free demo"
"213",-2,"disgusting store dirty horribly sick dont touch wonder esp"
"214",-2,"disgusting store dirty horribly sick dont touch wonder"
"215",-1,"mass worst"
"216",0,"black squared handle cream color ebay"
"217",-1,"worst"
"218",1,"enter win mug holiday blend can"
"219",1,"train hope amazing day"
"220",3,"good morning friends hot fresh butter rum watching news"
"221",2,"thank love axis entertainment avenue"
"222",1,"your free demo"
"223",2,"fav basket take look amazing items"
"224",0,"when pink tumbler pounce damn pretty"
"225",-1,"come dark"
"226",0,"how stay drinks ketogenic lab"
"227",0,"yummy yummy unicorn cake christmas log cake"
"228",2,"good morning enjoy day time"
"229",0,"famila photo session"
"230",0,"famila photo session"
"231",0,"morning treat douglas"
"232",0,"the waking life target deerfield beach"
"233",0,"famila photo session"
"234",1,"looking perfect gift"
"235",0,"that moment comes"
"236",0,""
"237",0,"famila photo session"
"238",1,"not instincts correct"
"239",0,"check glass etched logo cobalt blue cup mug lot via"
"240",0,"really looking forward pose questions brand travel"
"241",0,"first front tree morning"
"242",0,"this afternoon"
"243",0,"always expensive drink drink reward"
"244",1,"enter win mug holiday blend can"
"245",0,"new youtube how food eat equal gingerbread frappuccino"
"246",2,"kids she liked subtle sweetness creaminess"
"247",0,"former revealed red looked via"
"248",1,"with hand ready sunrise kids asleep"
"249",-1,"when sign months day comes hmmm maybe cold outside"
"250",0,"another day"
"251",1,"happiness"
"252",1,"looking perfect gift"
"253",0,"toffee nut latte hits spot"
"254",0,"thanks ate"
"255",1,"looking perfect gift"
"256",-1,"just seeing stickers you addict"
"257",0,"water essential"
"258",-1,"this controversial brand valued more highly than coke nike not uber"
"259",0,"water essential"
"260",0,"the egg nog latte"
"261",0,"water essential"
"262",-1,"disappointed staff stansted airport arrivals never costa card"
"263",1,"looking perfect gift"
"264",0,"water essential"
"265",0,"water essential"
"266",0,"water essential"
"267",0,"water essential"
"268",0,"the story amsterdam business seminar"
"269",0,"forget sometimes material represent"
"270",0,"some days"
"271",1,"coming yay background huh"
"272",0,"function day"
"273",0,"yup"
"274",-5,"babe flu sick tired moody grumpy horny lonely starting flashback"
"275",1,"looking perfect gift"
"276",1,"raspberry white chocolate dida divina thank see bebe"
"277",0,"store"
"278",0,"chatswood"
"279",0,"two story seoul south korea"
"280",0,"thanks putting lid friends now wearing"
"281",1,"thanx love gift"
"282",-1,"the the sunken thanks"
"283",0,"and isaac"
"284",0,""
"285",0,"week condemn pretty ive fallen grace"
"286",1,"left interpretation true lgbt cheer"
"287",1,"just lover nothing"
"288",0,"busy"
"289",0,"yummy winter glasses"
"290",0,"sunday"
"291",0,"practice favori"
"292",1,"keele services employees cleanliness tips"
"293",0,"lebkuchen latte und chocolate cheesecake muffin"
"294",0,""
"295",0,"earn cash shopping retailers including start here"
"296",1,"looking perfect gift"
"297",0,"summer coming"
"298",0,"bonding time"
"299",-1,"wow class hotchocolate bloody joke"
"300",0,"howard schultz were getting food business"
"301",0,"howard schultz were getting food business"
"302",-2,"sad depressed"
"303",0,"friend"
"304",0,"winter coming"
"305",0,"they reunited"
"306",1,"good morning fox mill wind morning time"
"307",-1,"reported abt cruel industry"
"308",0,"just christmas thailand"
"309",-1,"stupid warns holiday cups promote gay agenda"
"310",0,"drink medecineball"
"311",0,"dog time doggy"
"312",0,"gingerbread latte time"
"313",1,"china fastest growing middle class population buying western sign growth"
"314",0,"they reunited"
"315",-1,"dena cheese dead"
"316",0,"they reunited"
"317",0,"they reunited"
"318",0,"they reunited"
"319",0,"good explanation facebook gift card scams"
"320",0,"specifically decaf forget decaf"
"321",0,"sunday morning"
"322",0,"unicorn cake"
"323",0,""
"324",0,"good explanation facebook gift card scams"
"325",0,"fauxfur pockethuggie folds"
"326",0,"basic taken"
"327",-1,"its absence posts shot instagram"
"328",1,"practice favorite high"
"329",0,"brew hillsbros mocha puroroast decaf add brewed ice splash chocolate almond milk"
"330",1,"does taste free yes yes guy drivethru"
"331",0,"luv"
"332",0,"luv"
"333",0,"koffiebreak"
"334",0,"christmas vibes canal xmas office morning has advent calendar"
"335",1,"how draw adorable muffin"
"336",1,"how draw adorable muffin"
"337",0,"creative_carrah instagram"
"338",0,"thinking seeing don just funny hella cool guy"
"339",0,"woman insanely intricate cups take hours design"
"340",0,"they reunited"
"341",0,"they reunited"
"342",0,"they reunited"
"343",1,"she loves snapchat"
"344",0,"something growing airport"
"345",-1,"value this controversial more highly than"
"346",0,"time cityplaza hong"
"347",0,"belgian millionaire mall paskal"
"348",0,"sunday rides"
"349",0,"time starbuck"
"350",0,"good explanation facebook gift card scams"
"351",1,"looking perfect gift"
"352",0,"good explanation facebook gift card scams"
"353",0,"uploaded episode salsa blu nov"
"354",0,"good explanation facebook gift card scams"
"355",1,"wherever world asways welcome sight whenever"
"356",0,"raspberry white chocolate frappuccino"
"357",0,"good explanation facebook gift card scams"
"358",1,"practice favorite high ceilings excellen"
"359",0,"good explanation facebook gift card scams"
"360",0,"the sunday morning"
"361",0,"good explanation facebook gift card scams"
"362",0,"good explanation facebook gift card scams"
"363",1,"endless endless endless love"
"364",0,"good explanation facebook gift card scams"
"365",0,"good explanation facebook gift card scams"
"366",0,"that dude hair come"
"367",0,"drink pete"
"368",0,"thank saving effin stressful day you real babe"
"369",1,"did mean joyful instead joyfull seems"
"370",-1,"new pyjamas mug cheesy christmas movies what spend saturday"
"371",2,"love love"
"372",0,"boxes"
"373",0,"study session look"
"374",1,"enter win mug holiday blend can"
"375",1,"looking perfect gift"
"376",0,"bye iphone plus iphone plus iphone iphone home now skip plus countdown"
"377",0,"tried"
"378",2,"feeling festive hands super toda"
"379",0,"register november ends open"
"380",0,"thats tho walked"
"381",0,"the complete guide caffeine via"
"382",1,"gold"
"383",1,"why found pink whats found been luck"
"384",0,"supposed buy suitcases home bag mom empty shelf"
"385",0,"toffee nut crunch latte vanilla nougat latte"
"386",1,"mean cute barista thanks"
"387",1,"sometimes enjoy moment"
"388",2,"practice favorite high ceilings excellent acoustics"
"389",1,"good"
"390",2,"loved daughters treated they remember thank"
"391",0,"toasted white chocolate mocha one beverages"
"392",0,"commented car keyed car"
"393",-2,"disgusted disappointed reaction guessing retaliation store teams caused"
"394",0,"please train team rutherford discuss customers negatively left store front"
"395",1,"looking perfect gift"
"396",0,"hmm covfefe moment newly innsbrook"
"397",0,"heard rotting kin night"
"398",1,"good"
"399",0,"planners plenty tis season giving"
"400",-1,"innocence danger"
"401",0,""
"402",0,"tambien hacer postureo"
"403",0,"women yall its drawing"
"404",0,"how lucy tristine"
"405",0,"gym send gcs"
"406",0,"check"
"407",1,"earl grey cake hot chocolate pump hazelnut"
"408",0,"started day"
"409",-1,"northstar joke thanks trying"
"410",1,"time volunteer thanks providing free internet"
"411",0,"mean check how make gift basket htt"
"412",0,"mean check how make gift basket htt"
"413",0,"boxes"
"414",1,"toasted white chocolate mocha favorite drink"
"415",1,"create magic moments"
"416",1,"mean cute barista thanks"
"417",2,"practice favorite high ceilings excellent acoustics"
"418",4,"peace shanti shanti shanti peace peace peace"
"419",0,"deliciously spiced lovers"
"420",1,"oneee love"
"421",1,"looking perfect gift"
"422",1,"cute japan"
"423",1,"enter win mug holiday blend can"
"424",0,"new youtube how food eat equal gingerbread frappuccino"
"425",0,"when life lemons"
"426",0,"when life lemons"
"427",0,"ooooooo thanks fueling addiction weekly"
"428",1,"this snowman cookie ear muffs guess finally raise good frosty"
"429",1,"uploaded love lettering barista"
"430",1,"looking perfect gift"
"431",0,""
"432",-1,"stopped first decided experience crazy lines rushes"
"433",-1,"feels vacay fall asleep wake"
"434",2,"time sbux university benefit package superior received"
"435",0,"white"
"436",1,"yes thank dave back morning ill treat"
"437",-1,"you holidays people start getting batshit crazy matcha green tea latte please"
"438",0,"changing drink"
"439",-1,"you holidays people start getting batshit crazy matcha green tea latte please"
"440",0,"when priority"
"441",0,"barista quad late day tell truth"
"442",1,"sierra called cat cute little croissant warming"
"443",0,"basic white girl business"
"444",0,"uploaded episode salsa blu nov"
"445",0,""
"446",0,"gym send gcs"
"447",1,"small ride gvgabriel treating helped fix"
"448",1,"looking perfect gift"
"449",0,""
"450",-2,"outrage tradition crowded malls mariah"
"451",0,"today storm approaching"
"452",2,"this perfect hot chocolate weather"
"453",0,"morning fuel"
"454",2,"practice favorite high ceilings excellent acoustics"
"455",0,"use laptop shops then check review"
"456",1,"looking perfect gift"
"457",0,"uploaded episode salsa blu nov"
"458",1,"spill protector handy"
"459",0,"uploaded episode salsa blu nov"
"460",1,"spill protector handy"
"461",0,"nigga bihh look finna fucked htt"
"462",0,"nigga bihh look finna fucked htt"
"463",0,"nigga bihh look finna fucked htt"
"464",0,"nigga bihh look finna fucked htt"
"465",0,"nigga bihh look finna fucked htt"
"466",0,"nigga bihh look finna fucked htt"
"467",0,"nigga bihh look finna fucked htt"
"468",0,"nigga bihh look finna fucked htt"
"469",0,"nigga bihh look finna fucked htt"
"470",0,"nigga bihh look finna fucked htt"
"471",0,"uploaded episode salsa blu nov"
"472",-2,"this ridiculous conservatives attack holiday cup gay agenda"
"473",0,"uploaded episode salsa blu nov"
"474",0,"nigga bihh look finna fucked"
"475",-1,"seriously don people except bitch"
"476",0,"uploaded episode salsa blu nov"
"477",0,"mommy olivia snowman cake pop"
"478",0,"try decaf"
"479",-1,"received yellow card inspector failed audit infractions"
"480",0,"starting feel christmas"
"481",0,"uploaded episode salsa blu nov"
"482",0,"sophies puppuccino thanks"
"483",0,"brews row speculates couple holding hands its"
"484",0,"profit margin prices"
"485",0,"colouring party"
"486",0,"profit margin prices"
"487",0,"drink christmas start thanksgiving overall experience including christmas music"
"488",-2,"time annual conservative boycott lets real you guys drink anyway"
"489",1,"looking perfect gift"
"490",0,"toasted white chocolate mocha one beverages"
"491",0,"celebrating matau weezy theme"
"492",0,"work break"
"493",0,"new youtube how food eat equal gingerbread frappuccino"
"494",0,""
"495",0,"whenever butcher jordan saying name grace"
"496",2,"yay great"
"497",0,"when life"
"498",0,"home psl run"
"499",0,"saturday night selfie enjoying skinny latte saturday rainy evening"
"500",0,"the cat puccino"
"501",0,"sad news teavana closing months stores where decent tea"
"502",1,"loving frappe"
"503",-1,"get outraged lesbians holding hands"
"504",0,"amigos rainy grey weekend"
"505",-1,"the infront drive thru drinks mins totaling wtf this vegas pal"
"506",0,"new youtube how food eat equal gingerbread frappuccino"
"507",1,"does taste free yes yes guy drivethru"
"508",1,"looking perfect gift"
"509",0,"new youtube how food eat equal gingerbread frappuccino"
"510",0,"look keenly waiting start moving ass thesis proposal ive"
"511",0,"before hurricane cat landfall hurricane rec"
"512",0,"starting train"
"513",1,"what couple love holding hands"
"514",0,"meeseeks"
"515",0,"pumped"
"516",-3,"ill dead cold cold ground drink devilwater formerly gay pour directly"
"517",0,"okay"
"518",0,"rising sun not"
"519",1,"looking perfect gift"
"520",1,"looking perfect gift"
"521",-1,"lemon loaf"
"522",0,"yumminess"
"523",0,"happened"
"524",0,"hayden trip"
"525",0,"latest holiday cup promoting homosexuality"
"526",1,"followed heart led"
"527",0,""
"528",1,"happy"
"529",0,"check glass etched logo cobalt blue cup mug lot via"
"530",0,""
"531",1,"looking perfect gift"
"532",0,"hours day time"
"533",0,"latte dishwasher"
"534",1,"enjoying time cole"
"535",0,"also drinking wil"
"536",3,"thank you amazing the canadian ornament awesome"
"537",0,"guy beat guy pink hair nails are"
"538",1,"guest defends suggesting extra trips better for middle class than"
"539",2,"ladies pink sequins love woman outstanding nurse clinical nurse specialist air force veteran"
"540",0,"tea cup original"
"541",0,"halloween costume"
"542",0,"vanilla bean girls"
"543",2,"guess love white mocha peppermint hot chocolate"
"544",2,"just overhead delightful elderly women talk afford extra month tevo"
"545",0,"nightsnacks"
"546",0,""
"547",1,"enter win mug holiday blend can"
"548",0,"can half just"
"549",0,""
"550",0,"movies"
"551",-1,"upset lesbians"
"552",0,"when charges venti grande totally messes nice"
"553",1,"legit ill compliment"
"554",1,"tried toasted white chocolate frappuccino delicious thumbs"
"555",0,""
"556",0,"new youtube how food eat equal gingerbread frappuccino"
"557",0,"coz starducks"
"558",0,"just call white girl"
"559",0,"apparently women looking grazing fingers simply"
"560",0,"vlog live seals sea lions"
"561",0,"pumpkin soy late"
"562",0,"when life lemons"
"563",3,"positive positive vision positive life"
"564",0,"new youtube how food eat equal gingerbread frappuccino"
"565",3,"positive positive vision positive life"
"566",3,"positive positive vision positive life"
"567",1,"enter win mug holiday blend can"
"568",0,"husband literally"
"569",1,"enter win mug holiday blend can"
"570",3,"positive positive vision positive life"
"571",3,"positive positive vision positive life"
"572",3,"positive positive vision positive life"
"573",-1,"can catch break swear people love bitch offended everyth"
"574",3,"positive positive vision positive life"
"575",1,"enter win mug holiday blend can"
"576",3,"positive positive vision positive life"
"577",1,"studying time consistent"
"578",3,"positive positive vision positive life"
"579",3,"positive positive vision positive life"
"580",3,"positive positive vision positive life"
"581",3,"positive positive vision positive life"
"582",1,"calm"
"583",3,"positive positive vision positive life"
"584",3,"positive positive vision positive life"
"585",3,"positive positive vision positive life"
"586",0,"understand feel spirit"
"587",0,"seriously that latte effort"
"588",3,"positive positive vision positive life"
"589",3,"positive positive vision positive life"
"590",3,"positive positive vision positive life"
"591",3,"positive positive vision positive life"
"592",3,"positive positive vision positive life"
"593",3,"positive positive vision positive life"
"594",0,"shout doug holiday inn federal center plaza above beyond"
"595",3,"positive positive vision positive life"
"596",0,"poke amd two cultures become one"
"597",0,"yamaguchi"
"598",3,"positive positive vision positive life"
"599",3,"positive positive vision positive life"
"600",3,"positive positive vision positive life"
"601",0,"back cloverdale monthly meet greet come"
"602",3,"positive positive vision positive life"
"603",0,"dear time consider becoming"
"604",3,"positive positive vision positive life"
"605",3,"positive positive vision positive life"
"606",3,"positive positive vision positive life"
"607",3,"positive positive vision positive life"
"608",0,""
"609",3,"positive positive vision positive life"
"610",0,"just cutest couple lifes"
"611",3,"positive positive vision positive life"
"612",2,"work love _________"
"613",3,"positive positive vision positive life"
"614",0,"there little fix"
"615",0,"decision"
"616",3,"positive positive vision positive life"
"617",3,"positive positive vision positive life"
"618",3,"positive positive vision positive life"
"619",1,"love"
"620",3,"positive positive vision positive life"
"621",3,"positive positive vision positive life"
"622",0,"feeling morning decided treat life reminded feel"
"623",3,"positive positive vision positive life"
"624",3,"positive positive vision positive life"
"625",1,"over words strong"
"626",3,"positive positive vision positive life"
"627",0,"weekend treat thor ragnarok"
"628",3,"positive positive vision positive life"
"629",-1,"what waste redeemed freebie print pay becuz app bought"
"630",3,"positive positive vision positive life"
"631",3,"positive positive vision positive life"
"632",1,"learned hardway redeem freebies mobile app they print app doesn"
"633",3,"positive positive vision positive life"
"634",0,""
"635",3,"positive positive vision positive life"
"636",-1,"its proper saturday questionable drink purchase cramp"
"637",3,"positive positive vision positive life"
"638",3,"positive positive vision positive life"
"639",3,"positive positive vision positive life"
"640",3,"positive positive vision positive life"
"641",0,"when life lemons"
"642",1,"gorgeous christmas bears"
"643",3,"positive positive vision positive life"
"644",3,"positive positive vision positive life"
"645",1,"impressed visit reserve bar"
"646",3,"positive positive vision positive life"
"647",0,"have time pike place market pike place market"
"648",3,"positive positive vision positive life"
"649",0,"register november ends open"
"650",1,"enjoying peppermint mocha latte"
"651",0,"latest holiday cup promoting homosexuality"
"652",0,"people treat grocery store standalone stores"
"653",-1,"missed atlanta"
"654",-1,"break bux"
"655",-2,"idiots complaining girls holding life cares"
"656",1,"nothing saturday favorite wash"
"657",1,"cool lime grey day canada"
"658",1,"the income million dollars support habit"
"659",4,"love love love love"
"660",0,"chimichanga"
"661",0,"gym send gcs"
"662",1,"time hot cocoa christmas otagiri mugs"
"663",-1,"funny starbuck starwars design drawing case iphone"
"664",0,"guess"
"665",0,""
"666",0,"bought arizona mug forget vegas"
"667",0,"time freebie"
"668",0,"aes thanks latte paraprofessionals"
"669",0,"venti pike place roast caramel"
"670",-1,"breaking news obama team lace chemtrails mother gay"
"671",1,"love dont leave hanging"
"672",-3,"funny bitch literally trying elect child molest"
"673",0,"christmas"
"674",1,"free drink month offer strings starving spider"
"675",0,"shoutout night finally drink"
"676",0,"the sweetest snowman literally"
"677",1,"bruce awesome girlfriend"
"678",1,"while restaurants free alter prices account"
"679",-1,"running awkward"
"680",0,"gingerbread latte tastes christmas"
"681",0,"there start saturday morning morn"
"682",2,"feeling pretty blessed helped lady homeless pay"
"683",1,"being day proud"
"684",0,""
"685",0,"whos spanish editing celebra"
"686",0,"todays courtesy"
"687",1,"kaew tangerines wonder pumpkin spice essential oil"
"688",0,"trying fill day stuff called comes tonight"
"689",1,"your favourites returned warm peppermint mocha chestnut praline creekside"
"690",1,"favorite and black opium stood store starring bottle ysl black"
"691",0,"for lovers"
"692",0,"could please educate tell lesbian hands hidden"
"693",0,"drawing series"
"694",1,"had season tasted amazing the jury"
"695",1,"doing homework better sitting home"
"696",1,"passion fruit iced tea"
"697",0,"the market most vogue stocks beat the market wmt vrx gild mnkd"
"698",0,"from the archives cthulhu tries drink"
"699",0,"gym send gcs"
"700",1,"happy"
"701",0,"photo"
"702",0,"gym send gcs"
"703",1,"university heights plaza providence"
"704",1,"letting kids purchase companies fun introduce stock market they familiar wit"
"705",0,"got outta"
"706",0,""
"707",-2,"another xmas tradition the annual rage issue mind"
"708",-1,"are boycott double"
"709",0,"celebrated gay agenda campaign stupid management"
"710",0,"you drink"
"711",1,"pleasure"
"712",0,"gym send gcs"
"713",0,"gym send gcs"
"714",0,"this cafe lit they playing bachata dance seat lol"
"715",0,"distraction happening christmas good tidin"
"716",1,"only available weeks"
"717",0,"entrepreneur k_kennyrhine_"
"718",0,"drinks daughter phoenix"
"719",1,"and stole half hes lucky love"
"720",1,"katee sackhoff longmire looks jeans love episode"
"721",0,"lirr prime exposure for sale lease divides rent"
"722",0,"banger"
"723",1,"saturdays yay boo hangover"
"724",0,"promenade sainte catherine bordeaux france"
"725",0,"twelve days christmas gift ideas"
"726",1,"eggnog frappachino warm windy rainy day"
"727",-1,"this irritating expensive fill top not sip"
"728",1,"spread cheer"
"729",0,"hrm packed gills jeez"
"730",1,"hot"
"731",1,"prime site for lease cars traffic count available"
"732",0,"addiction unboxing channel"
"733",0,"this cafe lit they playing bachata dance seat lol"
"734",0,"fan email coolpurple spam please nyc cards trade cities"
"735",1,"hey fans world wide start trading club new york send card city"
"736",-1,"miss yah"
"737",0,"drinking peppermint latte eating peppermint chocolate cake ball listen christmas"
"738",0,"home lol seattle washington"
"739",0,"can you draw without probably not"
"740",-1,"wtf tall grande filled all and what floa"
"741",-2,"such stupid issue"
"742",0,"its season"
"743",0,"touristy selfie person times square"
"744",1,"liked menu style cafe brunswick mall feels holidays coming"
"745",-1,"specifically peppermint mocha peppermint syrup wtf"
"746",0,"photoshoot"
"747",2,"wife hit car yesterday classic oatmeal help recover"
"748",0,"sharp meet juhu mumbai sunday miss"
"749",0,"totally tempted girl name"
"750",0,"should holiday spice flat white instead"
"751",0,"can courtney sounds claudia game"
"752",0,"just grande tesora"
"753",1,"this stuff amazing just saying"
"754",0,"people starbhakts"
"755",0,"chai latte time"
"756",0,"people starbhakts"
"757",0,"channeling inner aka king head lol"
"758",1,"love student barista"
"759",0,"breezy sunday midnight"
"760",0,"ornament christmas stocking ebay"
"761",2,"loving wonder"
"762",0,"race gender graduates jobs"
"763",-1,"thanks christmas waiting"
"764",0,"when finally"
"765",0,"omg just looking makes gay marry abortions"
"766",0,"happy weekend family friends fell"
"767",1,"loving"
"768",0,"learning barista understand foam foam means foam"
"769",0,"grab morning catch its entertainment"
"770",0,"check nib green dot ceramic christmas travel mug lid via"
"771",0,"first venti"
"772",0,"entire paycheck"
"773",1,"thrilling romance that copy"
"774",0,"not problematic totally awesome anymore they kno"
"775",0,"first day"
"776",-2,"fewer false christians protest"
"777",0,"victims afford medical care las vegas mass shooting yall worried"
"778",0,"watched people touch bagel"
"779",1,"easing day working editing photos learning light"
"780",0,"saturday morning heading pasadena real estate"
"781",1,"here the lesbian couple cup cheered lgbt advocates dont look"
"782",0,"mean check how make gift basket htt"
"783",-1,"you fat toilets boobs set hand dryer"
"784",0,""
"785",-1,"pray green tea extract carcinogenic bug"
"786",0,""
"787",1,"nobody cares christmas support patriotism buy"
"788",0,""
"789",0,"realizing espresso shots frappuccinos"
"790",0,"kalispell montana"
